id,name,description,category,created_at,updated_at
c5d23a6a-2e06-4029-ae92-57439b32f651,12 Senses,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
127027a5-3bdc-47de-ba8e-365cdf177606,2022 Tree Sale,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
78e981cb-b4ac-436f-9a55-3360c2c6136e,2022 WildFire Fundraiser,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
4594bdc7-20d9-471b-85d8-87d2265a1cf9,2023 New Moon Drop In,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
abc7f9d5-5179-41db-b1d5-396ac6067028,2023 New Moon Drop in Dec 12,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
1f32186f-6e8d-4da1-b810-242a3ece401e,2023 Spring Equinox,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
e2ef017f-0b6d-41e5-a242-963fe220f0d2,2023 Summer Solstice,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
966a3470-8bb0-4bdf-8c61-7c276b97076c,2023 Tree Sale,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
991ad32a-e009-45ab-8be0-7aa21e0a205d,2024 New Moon Arc,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
26058b7f-b054-4858-9441-dad8accc59bc,2024 New Moon Drop In Sept 2,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
a3f55631-395e-4c23-9411-df5e7f623d93,2024 New Moon Drop-In,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
addb4d5b-45db-49e1-b8f3-eae61d62652f,2024 New Moon drop In May 7,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
70229ffa-dfb3-4e4c-8a2a-2aaa88dedddc,2024 Tree Sale,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
1427eea8-5d35-40f6-88a1-b4b9b8e8b75f,A New Astrology - Series 1,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
9f06ab34-7d36-45c7-b4ae-0ea030369fd5,A New Astrology - Series 2,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
e6af1e4c-97e8-48f0-9e87-38c2a181908d,A New Astrology Emerging Participant,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
9ef583af-6f07-4844-8678-43d5233ed022,Astrology of Plagues,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
7e8e83c8-091c-4748-8b5b-402e37b6a905,Autumn New Moon Journey,,,2025-10-28T21:51:22Z,2025-10-28T21:51:22Z
